Airline,Origin,Destination,Day,Month,Year,Weekday,Departure_Hour,Arrival_Hour,Duration_Minutes,Stops,Class,WiFi,Meals,Baggage_kg,Price_VND
Pacific Airlines,TP HCM,NHA TRANG,27.0,4.0,2021.0,1.0,19.0,20.0,65.0,0,ECONOMY (EL)-A,No,No,7,704000.0
Vietjet,NHA TRANG,HÀ NỘI,3.0,4.0,2021.0,5.0,9.0,11.0,98.0,0,ECO,No,No,20,1104100.0
Vietnam Airlines,ĐÀ NẴNG,TP HCM,22.0,4.0,2021.0,3.0,19.0,21.0,90.0,0,ECONOMY (EL)-A,No,No,7,759000.0
Vietnam Airlines,HÀ NỘI,ĐÀ NẴNG,21.0,4.0,2021.0,2.0,15.0,16.0,85.0,0,ECONOMY (EL)-A,No,No,7,759000.0
Bamboo Airways,DAD,HAN,10.0,1.0,2026.0,5.0,12.0,14.0,110.0,0,ECONOMY,No,No,7,989030.0
Bamboo Airways,TP HCM,ĐÀ NẴNG,29.0,4.0,2021.0,3.0,11.0,12.0,90.0,0,ECO SMART,Limited,Snack,20,1942000.0
Vietjet,TP HCM,THANH HÓA,22.0,4.0,2021.0,3.0,9.0,11.0,120.0,0,ECO,No,No,7,749900.0
Vietnam Airlines,HÀ NỘI,TP HCM,25.0,4.0,2021.0,6.0,6.0,8.0,135.0,0,ECONOMY (EL)-P,No,No,7,969000.0
Vietjet,SGN,HAN,9.0,4.0,2021.0,4.0,6.0,8.0,120.0,0,ECONOMY,No,No,7,849900.0
Vietnam Airlines,TP HCM,PHÚ QUỐC,4.0,4.0,2021.0,6.0,13.0,14.0,43.0,0,ECONOMY (EL)-A,No,No,7,736947.0
Vietnam Airlines,HÀ NỘI,QUY NHƠN,24.0,4.0,2021.0,5.0,10.0,12.0,110.0,0,ECONOMY (EC)-N,Limited,Snack,20,1620000.0
Vietnam Airlines,HPH,SGN,5.0,4.0,2021.0,0.0,17.0,19.0,135.0,0,ECONOMY,No,No,7,760000.0
Vietnam Airlines,VII,SGN,6.0,4.0,2021.0,1.0,18.0,19.0,115.0,0,ECONOMY,No,No,7,760000.0
Vietjet,HAN,CXR,11.0,4.0,2021.0,6.0,18.0,20.0,100.0,0,ECONOMY,Limited,Snack,23,2082800.0
Vietnam Airlines,HÀ NỘI,PHÚ QUỐC,30.0,4.0,2021.0,4.0,17.0,20.0,135.0,0,ECONOMY (EC)-L,Limited,Yes,23,2940000.0
Vietnam Airlines,HÀ NỘI,PHÚ QUỐC,24.0,4.0,2021.0,5.0,18.0,20.0,133.0,0,ECONOMY (EC)-T,Limited,Snack,20,1635291.0
Vietnam Airlines,TP HCM,HUẾ,19.0,4.0,2021.0,0.0,15.0,17.0,90.0,0,ECONOMY (EL)-A,No,No,7,759000.0
Vietjet,HÀ NỘI,TP HCM,12.0,4.0,2021.0,0.0,18.0,20.0,138.0,0,ECO,No,No,7,861993.0
Pacific Airlines,PQC,SGN,1.0,4.0,2021.0,3.0,13.0,14.0,84.0,0,ECONOMY,No,No,7,685403.0
Bamboo Airways,HAN,UIH,4.0,5.0,2021.0,1.0,7.0,9.0,105.0,0,ECONOMY,No,No,7,699633.0
Vietnam Airlines,NHA TRANG,TP HCM,16.0,4.0,2021.0,4.0,9.0,10.0,70.0,0,ECONOMY (EL)-A,No,No,7,726000.0
Vietnam Airlines,TP HCM,PHÚ QUỐC,7.0,4.0,2021.0,2.0,15.0,16.0,65.0,0,ECONOMY (EL)-A,No,No,7,759000.0
Vietnam Airlines,HÀ NỘI,PHÚ QUỐC,19.0,4.0,2021.0,0.0,8.0,10.0,135.0,0,ECONOMY (EC)-L,Limited,Yes,23,2940000.0
Vietnam Airlines,PQC,SGN,11.0,4.0,2021.0,6.0,8.0,9.0,60.0,0,ECONOMY,No,Snack,20,1290000.0
Pacific Airlines,VCL,SGN,4.0,4.0,2021.0,6.0,10.0,11.0,80.0,0,ECONOMY,No,No,20,1025000.0
Vietnam Airlines,ĐÀ NẴNG,TP HCM,1.0,5.0,2021.0,5.0,9.0,10.0,90.0,0,ECONOMY (EC)-E,No,No,7,970000.0
Pacific Airlines,SGN,DAD,9.0,4.0,2021.0,4.0,19.0,20.0,80.0,0,ECONOMY,No,No,7,925000.0
Vietnam Airlines,SGN,DAD,18.0,1.0,2026.0,6.0,20.0,22.0,92.0,0,BUSINESS,Yes,Yes,32,2728382.0
Vietnam Airlines,TP HCM,HÀ NỘI,4.0,4.0,2021.0,6.0,21.0,23.0,130.0,0,ECONOMY (EL)-P,No,No,7,969000.0
Vietjet,HÀ NỘI,NHA TRANG,10.0,4.0,2021.0,5.0,7.0,9.0,98.0,0,ECO,Limited,Yes,23,2949104.0
Vietnam Airlines,SGN,VII,11.0,4.0,2021.0,6.0,12.0,14.0,103.0,0,ECONOMY,No,No,7,785365.0
Vietjet,SGN,HAN,4.0,5.0,2021.0,1.0,15.0,18.0,140.0,0,ECONOMY,No,No,20,1170900.0
Vietnam Airlines,TP HCM,THANH HÓA,25.0,4.0,2021.0,6.0,6.0,8.0,120.0,0,ECONOMY (EL)-A,No,No,7,760000.0
Pacific Airlines,SGN,DAD,2.0,4.0,2021.0,4.0,12.0,14.0,79.0,0,ECONOMY,No,No,7,903423.0
Vietjet,SGN,HAN,6.0,1.0,2026.0,1.0,12.0,14.0,110.0,0,ECONOMY,No,Snack,20,1340786.0
Bamboo Airways,SGN,DAD,8.0,4.0,2021.0,3.0,18.0,19.0,90.0,0,ECONOMY,No,No,7,761000.0
Vietjet,SGN,THD,4.0,4.0,2021.0,6.0,15.0,17.0,123.0,0,ECONOMY,No,No,7,779729.0
Bamboo Airways,TP HCM,HÀ NỘI,9.0,4.0,2021.0,4.0,13.0,15.0,109.0,0,ECO SAVER,No,No,7,974241.0
Vietnam Airlines,CXR,HAN,11.0,4.0,2021.0,6.0,19.0,21.0,120.0,0,BUSINESS,Yes,Yes,30,5140000.0
Vietnam Airlines,ĐÀ NẴNG,TP HCM,4.0,5.0,2021.0,1.0,11.0,13.0,90.0,0,ECONOMY (EL)-P,No,No,7,859000.0
Pacific Airlines,TP HCM,NHA TRANG,5.0,4.0,2021.0,0.0,19.0,20.0,65.0,0,ECONOMY (EL)-A,No,No,7,704000.0
Bamboo Airways,TP HCM,HÀ NỘI,15.0,4.0,2021.0,3.0,10.0,13.0,130.0,0,ECO SAVER,No,No,7,971000.0
Vietravel Airlines,PHÚ QUỐC,TP HCM,29.0,4.0,2021.0,3.0,14.0,16.0,75.0,0,AREGOW (A) - VÉ KHÔNG HOÀN,No,No,7,696000.0
Pacific Airlines,SGN,HAN,2.0,5.0,2021.0,6.0,17.0,19.0,102.0,0,ECONOMY,No,Snack,20,1318482.0
Vietjet,CẦN THƠ,HÀ NỘI,2.0,4.0,2021.0,4.0,13.0,15.0,130.0,0,ECO,No,No,20,1070900.0
Bamboo Airways,HAN,DAD,6.0,1.0,2026.0,1.0,8.0,9.0,111.0,0,BUSINESS,Yes,Yes,30,5963769.0
Vietnam Airlines,TP HCM,PHÚ QUỐC,6.0,4.0,2021.0,1.0,15.0,16.0,79.0,0,ECONOMY (EL)-A,No,No,7,695019.0
Vietnam Airlines,PHÚ QUỐC,TP HCM,16.0,4.0,2021.0,4.0,17.0,18.0,70.0,0,ECONOMY (EL)-A,No,No,7,726000.0
Bamboo Airways,HÀ NỘI,ĐÀ LẠT,10.0,4.0,2021.0,5.0,5.0,7.0,116.0,0,ECO SAVER,Limited,Snack,20,1771549.0
Vietnam Airlines,HÀ NỘI,ĐÀ NẴNG,15.0,4.0,2021.0,3.0,10.0,11.0,80.0,0,ECONOMY (EF)-H,Limited,Snack,23,2060000.0
Vietjet,TP HCM,HẢI PHÒNG,4.0,5.0,2021.0,1.0,12.0,14.0,120.0,0,ECO,No,No,7,694900.0
Vietnam Airlines,DLI,SGN,6.0,4.0,2021.0,1.0,18.0,19.0,60.0,0,ECONOMY,No,No,7,759000.0
Vietjet,HUẾ,TP HCM,28.0,4.0,2021.0,2.0,23.0,0.0,85.0,0,ECO,No,No,7,694900.0
Vietjet,TP HCM,CHU LAI,20.0,4.0,2021.0,1.0,10.0,12.0,80.0,0,ECO,No,No,7,749900.0
Vietnam Airlines,THANH HÓA,TP HCM,19.0,4.0,2021.0,0.0,13.0,16.0,125.0,0,ECONOMY (EF)-K,Limited,Yes,23,3040780.0
Bamboo Airways,HÀ NỘI,CẦN THƠ,16.0,4.0,2021.0,4.0,7.0,9.0,133.0,0,ECO SAVER,No,No,20,1059206.0
Vietjet,DLI,SGN,2.0,5.0,2021.0,6.0,21.0,22.0,55.0,0,ECONOMY,Limited,Snack,20,1588900.0
Vietjet,HAN,SGN,4.0,4.0,2021.0,6.0,8.0,10.0,93.0,0,BUSINESS,Yes,Yes,30,3300516.0
Vietjet,TP HCM,CHU LAI,2.0,4.0,2021.0,4.0,15.0,16.0,80.0,0,ECO,No,No,7,749900.0
Pacific Airlines,TP HCM,HUẾ,10.0,4.0,2021.0,5.0,13.0,14.0,85.0,0,ECONOMY (EL)-A,No,No,7,704000.0
Vietjet,TP HCM,PHÚ QUỐC,6.0,4.0,2021.0,1.0,17.0,18.0,75.0,0,ECO,No,No,7,714675.0
Vietjet,HPH,SGN,10.0,4.0,2021.0,5.0,14.0,16.0,120.0,0,ECONOMY,No,No,7,694900.0
Bamboo Airways,TP HCM,ĐÀ NẴNG,3.0,5.0,2021.0,0.0,20.0,21.0,99.0,0,ECO SAVER,No,No,7,788822.0
Vietnam Airlines,HAN,PQC,17.0,1.0,2026.0,5.0,12.0,14.0,110.0,0,ECONOMY,Limited,Snack,23,2058041.0
Vietnam Airlines,TP HCM,HÀ NỘI,9.0,4.0,2021.0,4.0,18.0,20.0,130.0,0,ECONOMY (EL)-P,No,No,7,969000.0
Vietnam Airlines,VCA,HAN,9.0,4.0,2021.0,4.0,19.0,21.0,142.0,0,ECONOMY,No,No,7,760499.0
Vietjet,VCL,SGN,2.0,5.0,2021.0,6.0,16.0,17.0,68.0,0,ECONOMY,Limited,Snack,20,1521483.0
Vietjet,TP HCM,NHA TRANG,17.0,4.0,2021.0,5.0,16.0,17.0,60.0,0,ECO,No,No,7,682800.0
Vietnam Airlines,ĐÀ NẴNG,HÀ NỘI,25.0,4.0,2021.0,6.0,13.0,14.0,73.0,0,ECONOMY (EF)-K,Limited,Snack,20,1887237.0
Vietravel Airlines,SGN,PQC,6.0,1.0,2026.0,1.0,12.0,14.0,110.0,0,ECONOMY,No,No,7,747567.0
Bamboo Airways,QUY NHƠN,HÀ NỘI,7.0,4.0,2021.0,2.0,11.0,13.0,100.0,0,ECO SAVER,No,No,7,806000.0
Vietjet,HAN,PQC,6.0,1.0,2026.0,1.0,12.0,14.0,110.0,0,ECONOMY,No,Snack,20,1324530.0
Bamboo Airways,HÀ NỘI,QUY NHƠN,23.0,4.0,2021.0,4.0,7.0,9.0,88.0,0,ECO SMART,Limited,Snack,20,1972349.0
Vietnam Airlines,NHA TRANG,TP HCM,3.0,4.0,2021.0,5.0,18.0,20.0,70.0,0,ECONOMY (EL)-P,No,No,7,859000.0
Vietnam Airlines,DAD,HAN,12.0,4.0,2021.0,0.0,18.0,19.0,85.0,0,ECONOMY,No,No,20,1080000.0
Vietnam Airlines,DAD,SGN,8.0,4.0,2021.0,3.0,8.0,9.0,90.0,0,BUSINESS,Yes,Yes,30,3036000.0
Vietnam Airlines,VCL,SGN,10.0,4.0,2021.0,5.0,13.0,15.0,85.0,0,ECONOMY,No,No,7,760000.0
Bamboo Airways,HÀ NỘI,TP HCM,20.0,4.0,2021.0,1.0,21.0,23.0,145.0,0,ECO SAVER,No,No,7,838245.0
Vietjet,HAN,SGN,3.0,5.0,2021.0,0.0,5.0,7.0,130.0,0,ECONOMY,No,Snack,20,1390900.0
Vietjet,HAN,SGN,1.0,4.0,2021.0,3.0,12.0,15.0,140.0,0,ECONOMY,No,No,7,888524.0
Vietnam Airlines,PQC,SGN,7.0,1.0,2026.0,2.0,12.0,14.0,102.0,0,ECONOMY,No,No,20,1061396.0
Vietnam Airlines,ĐÀ LẠT,TP HCM,28.0,4.0,2021.0,2.0,14.0,15.0,51.0,0,ECONOMY (EL)-A,No,No,7,735742.0
Vietnam Airlines,HÀ NỘI,NHA TRANG,13.0,4.0,2021.0,1.0,15.0,17.0,120.0,0,ECONOMY (EL)-A,No,No,7,859000.0
Bamboo Airways,PHÚ QUỐC,TP HCM,4.0,4.0,2021.0,6.0,18.0,19.0,60.0,0,ECO SMART,No,Snack,20,1391000.0
Vietnam Airlines,HAN,SGN,5.0,1.0,2026.0,0.0,12.0,14.0,111.0,0,ECONOMY,Limited,Snack,20,1711024.0
Vietjet,CHU LAI,TP HCM,26.0,4.0,2021.0,0.0,7.0,9.0,83.0,0,ECO,No,No,7,739161.0
Pacific Airlines,DAD,SGN,11.0,4.0,2021.0,6.0,21.0,22.0,80.0,0,ECONOMY,No,No,7,925000.0
Vietjet,TP HCM,ĐÀ LẠT,16.0,4.0,2021.0,4.0,5.0,6.0,55.0,0,ECO,No,No,7,904900.0
Bamboo Airways,TP HCM,ĐÀ NẴNG,22.0,4.0,2021.0,3.0,5.0,7.0,90.0,0,ECO SAVER,No,No,7,861000.0
Vietnam Airlines,SGN,VII,12.0,4.0,2021.0,0.0,8.0,10.0,115.0,0,BUSINESS,Yes,Yes,30,3040000.0
Vietnam Airlines,TP HCM,VINH,21.0,4.0,2021.0,2.0,12.0,14.0,115.0,0,ECONOMY (EL)-A,No,No,7,760000.0
Vietravel Airlines,SGN,HAN,1.0,4.0,2021.0,3.0,9.0,11.0,130.0,0,ECONOMY,No,No,7,950000.0
Bamboo Airways,QUY NHƠN,HÀ NỘI,9.0,4.0,2021.0,4.0,16.0,18.0,86.0,0,ECO SAVER,No,Snack,20,1423816.0
Vietjet,TP HCM,HÀ NỘI,22.0,4.0,2021.0,3.0,22.0,0.0,130.0,0,ECO,No,No,7,849900.0
Bamboo Airways,ĐÀ NẴNG,HÀ NỘI,9.0,4.0,2021.0,4.0,12.0,14.0,80.0,0,ECO SAVER,No,No,7,706000.0
Pacific Airlines,HÀ NỘI,TP HCM,17.0,4.0,2021.0,5.0,8.0,10.0,129.0,0,ECONOMY (EL)-P,No,No,7,828593.0
Vietnam Airlines,ĐÀ NẴNG,TP HCM,1.0,5.0,2021.0,5.0,11.0,12.0,90.0,0,ECONOMY (EC)-E,No,No,7,970000.0
Vietjet,SGN,HAN,9.0,4.0,2021.0,4.0,21.0,23.0,135.0,0,ECONOMY,No,No,7,849900.0
Vietjet,TP HCM,ĐÀ LẠT,5.0,4.0,2021.0,0.0,19.0,20.0,55.0,0,ECO,No,No,7,694900.0
Vietjet,TP HCM,ĐÀ NẴNG,3.0,4.0,2021.0,5.0,19.0,20.0,84.0,0,ECO,No,No,7,676268.0
Vietjet,HAN,PQC,1.0,4.0,2021.0,3.0,10.0,12.0,128.0,0,ECONOMY,Limited,Snack,23,2097850.0
Vietravel Airlines,SGN,HAN,2.0,1.0,2026.0,4.0,12.0,14.0,115.0,0,BUSINESS,Yes,Yes,30,4573484.0
Pacific Airlines,ĐÀ NẴNG,HÀ NỘI,25.0,4.0,2021.0,6.0,12.0,14.0,75.0,0,ECONOMY (EF)-K,Limited,Snack,20,1839021.0
Vietjet,ĐÀ NẴNG,HÀ NỘI,2.0,5.0,2021.0,6.0,21.0,23.0,78.0,0,ECO,Limited,Snack,23,2111172.0
Vietjet,TP HCM,THANH HÓA,12.0,4.0,2021.0,0.0,6.0,8.0,120.0,0,ECO,No,No,7,749900.0
Vietjet,QUY NHƠN,HÀ NỘI,1.0,4.0,2021.0,3.0,14.0,16.0,100.0,0,ECO,No,No,7,738900.0
Vietjet,QUY NHƠN,HÀ NỘI,3.0,5.0,2021.0,0.0,18.0,20.0,103.0,0,ECO,Limited,Snack,23,2307226.0
Vietnam Airlines,HÀ NỘI,PHÚ QUỐC,13.0,4.0,2021.0,1.0,12.0,15.0,135.0,0,ECONOMY (EC)-E,No,Snack,20,1290000.0
Vietnam Airlines,CXR,SGN,4.0,5.0,2021.0,1.0,17.0,18.0,70.0,0,ECONOMY,No,Snack,20,1400000.0
Vietjet,TP HCM,THANH HÓA,14.0,4.0,2021.0,2.0,6.0,8.0,110.0,0,ECO,No,No,7,749288.0
Bamboo Airways,HÀ NỘI,QUY NHƠN,4.0,5.0,2021.0,1.0,7.0,9.0,113.0,0,ECO SAVER,No,No,7,695421.0
Vietnam Airlines,SGN,HPH,3.0,5.0,2021.0,0.0,8.0,10.0,125.0,0,ECONOMY,No,No,7,970000.0
Bamboo Airways,HÀ NỘI,ĐÀ NẴNG,28.0,4.0,2021.0,2.0,21.0,22.0,80.0,0,ECO SAVER,No,No,20,1181000.0
Vietnam Airlines,QUY NHƠN,HÀ NỘI,3.0,5.0,2021.0,0.0,16.0,18.0,106.0,0,BUSINESS (BF)-J,Yes,Yes,30,4865058.0
Vietnam Airlines,SGN,PQC,8.0,4.0,2021.0,3.0,13.0,14.0,44.0,0,ECONOMY,No,No,7,951488.0
Vietnam Airlines,CHU LAI,TP HCM,27.0,4.0,2021.0,1.0,13.0,15.0,85.0,0,ECONOMY (EL)-A,No,No,7,760000.0
Vietjet,UIH,HAN,4.0,4.0,2021.0,6.0,18.0,20.0,100.0,0,ECONOMY,Limited,Yes,23,2820900.0
Pacific Airlines,PQC,SGN,3.0,4.0,2021.0,5.0,16.0,17.0,65.0,0,ECONOMY,No,No,20,1025000.0
Bamboo Airways,DAD,HAN,12.0,4.0,2021.0,0.0,10.0,11.0,80.0,0,ECONOMY,No,No,7,861000.0
Vietnam Airlines,HAN,SGN,3.0,4.0,2021.0,5.0,12.0,14.0,135.0,0,BUSINESS,Yes,Yes,30,3876000.0
Pacific Airlines,ĐÀ NẴNG,TP HCM,18.0,4.0,2021.0,6.0,8.0,9.0,71.0,0,ECONOMY (EC)-E,No,No,7,948818.0
Pacific Airlines,TP HCM,HUẾ,28.0,4.0,2021.0,2.0,13.0,14.0,97.0,0,ECONOMY (EC)-R,No,No,20,1158637.0
Vietjet,HUẾ,TP HCM,2.0,4.0,2021.0,4.0,20.0,21.0,85.0,0,ECO,No,No,7,694900.0
Vietjet,HAN,BKK,16.0,1.0,2026.0,4.0,12.0,14.0,110.0,0,ECONOMY,Limited,Snack,20,1592115.0
Bamboo Airways,PHÚ QUỐC,HÀ NỘI,29.0,4.0,2021.0,3.0,9.0,11.0,125.0,0,ECO SAVER,No,No,7,971000.0
Pacific Airlines,TP HCM,ĐÀ NẴNG,30.0,4.0,2021.0,4.0,12.0,14.0,80.0,0,ECONOMY (EF)-H,Limited,Snack,23,2005000.0
Vietjet,SGN,PQC,7.0,4.0,2021.0,2.0,9.0,10.0,60.0,0,ECONOMY,No,No,7,694900.0
Vietjet,PHÚ QUỐC,TP HCM,16.0,4.0,2021.0,4.0,15.0,16.0,65.0,0,ECO,No,No,7,694900.0
Vietjet,HUẾ,TP HCM,14.0,4.0,2021.0,2.0,23.0,0.0,88.0,0,ECO,No,No,7,717815.0
Vietnam Airlines,PHÚ QUỐC,TP HCM,27.0,4.0,2021.0,1.0,11.0,13.0,70.0,0,ECONOMY (EL)-A,No,No,7,759000.0
Vietnam Airlines,TP HCM,HUẾ,19.0,4.0,2021.0,0.0,6.0,8.0,87.0,0,ECONOMY (EL)-A,No,No,7,789044.0
Pacific Airlines,VII,SGN,12.0,4.0,2021.0,0.0,20.0,21.0,105.0,0,ECONOMY,No,No,7,726000.0
Vietnam Airlines,HAN,DAD,19.0,1.0,2026.0,0.0,21.0,22.0,75.0,0,BUSINESS,Yes,Yes,32,2667700.0
Vietnam Airlines,VINH,TP HCM,10.0,4.0,2021.0,5.0,18.0,20.0,125.0,0,ECONOMY (EL)-A,No,No,7,781337.0
Bamboo Airways,HÀ NỘI,TP HCM,27.0,4.0,2021.0,1.0,10.0,12.0,130.0,0,ECO SAVER,No,No,7,861000.0
Bamboo Airways,PQC,HAN,6.0,4.0,2021.0,1.0,17.0,20.0,137.0,0,ECONOMY,Yes,Yes,23,4925692.0
Vietjet,HAN,SGN,1.0,5.0,2021.0,5.0,6.0,8.0,120.0,0,ECONOMY,No,No,20,1170900.0
Vietjet,PQC,SGN,13.0,1.0,2026.0,1.0,12.0,14.0,110.0,0,ECONOMY,No,No,7,685708.0
Pacific Airlines,ĐÀ LẠT,TP HCM,8.0,4.0,2021.0,3.0,12.0,13.0,55.0,0,ECONOMY (EL)-A,No,No,7,704000.0
Vietjet,HÀ NỘI,TP HCM,1.0,5.0,2021.0,5.0,12.0,15.0,130.0,0,ECO,No,No,20,1170900.0
Vietjet,PQC,SGN,12.0,4.0,2021.0,0.0,13.0,14.0,50.0,0,ECONOMY,No,No,7,904900.0
Pacific Airlines,ĐÀ NẴNG,TP HCM,4.0,4.0,2021.0,6.0,21.0,22.0,80.0,0,ECONOMY (EF)-K,Limited,Snack,20,1785000.0
Vietjet,HÀ NỘI,TP HCM,30.0,4.0,2021.0,4.0,6.0,9.0,118.0,0,ECO,No,Snack,20,1286765.0
Vietjet,HÀ NỘI,TP HCM,22.0,4.0,2021.0,3.0,19.0,21.0,130.0,0,ECO,No,No,7,849900.0
Vietjet,ĐÀ NẴNG,TP HCM,23.0,4.0,2021.0,4.0,17.0,18.0,85.0,0,ECO,No,No,7,694900.0
Vietravel Airlines,TP HCM,ĐÀ LẠT,3.0,5.0,2021.0,0.0,13.0,14.0,55.0,0,AREGOW (A) - VÉ KHÔNG HOÀN,No,No,7,696000.0
Vietnam Airlines,HAN,SGN,6.0,4.0,2021.0,1.0,6.0,8.0,135.0,0,ECONOMY,No,No,7,969000.0
Vietjet,HÀ NỘI,TP HCM,3.0,5.0,2021.0,0.0,6.0,9.0,112.0,0,ECO,No,Snack,20,1379821.0
Vietjet,TP HCM,HẢI PHÒNG,18.0,4.0,2021.0,6.0,9.0,11.0,120.0,0,ECO,No,No,7,694900.0
Pacific Airlines,HAN,SGN,12.0,4.0,2021.0,0.0,22.0,14.0,141.0,0,ECONOMY,No,No,7,897800.0
Vietnam Airlines,TP HCM,ĐÀ NẴNG,15.0,4.0,2021.0,3.0,6.0,8.0,85.0,0,ECONOMY (EL)-P,No,No,7,859000.0
Vietjet,DAD,SGN,4.0,4.0,2021.0,6.0,13.0,14.0,85.0,0,ECONOMY,No,No,20,1037900.0
Vietnam Airlines,SGN,DAD,1.0,5.0,2021.0,5.0,12.0,14.0,85.0,0,ECONOMY,No,Snack,20,1400000.0
Vietnam Airlines,SGN,PQC,10.0,4.0,2021.0,5.0,15.0,16.0,65.0,0,ECONOMY,No,No,7,970000.0
Vietjet,HÀ NỘI,PHÚ QUỐC,22.0,4.0,2021.0,3.0,15.0,17.0,139.0,0,ECO,No,No,7,990915.0
Vietjet,SGN,THD,5.0,4.0,2021.0,0.0,6.0,8.0,120.0,0,ECONOMY,No,No,7,749900.0
Vietnam Airlines,ĐÀ NẴNG,TP HCM,20.0,4.0,2021.0,1.0,11.0,13.0,85.0,0,ECONOMY (EL)-A,No,No,7,763650.0
Vietjet,TP HCM,CHU LAI,24.0,4.0,2021.0,5.0,14.0,16.0,80.0,0,ECO,No,No,7,749900.0
Vietjet,TP HCM,CHU LAI,22.0,4.0,2021.0,3.0,10.0,12.0,83.0,0,ECO,No,No,7,773995.0
Vietjet,TP HCM,HÀ NỘI,27.0,4.0,2021.0,1.0,10.0,12.0,130.0,0,ECO,No,No,20,1170900.0
Vietjet,CHU LAI,TP HCM,2.0,4.0,2021.0,4.0,16.0,17.0,75.0,0,ECO,No,No,7,749900.0
Bamboo Airways,SGN,DAD,2.0,4.0,2021.0,4.0,20.0,21.0,75.0,0,ECONOMY,No,No,7,870426.0
Vietjet,VII,SGN,7.0,4.0,2021.0,2.0,15.0,17.0,105.0,0,ECONOMY,No,No,7,959900.0
Vietjet,HAN,SGN,11.0,4.0,2021.0,6.0,19.0,21.0,130.0,0,ECONOMY,No,No,7,849900.0
Vietnam Airlines,TP HCM,HẢI PHÒNG,22.0,4.0,2021.0,3.0,8.0,10.0,125.0,0,ECONOMY (EL)-A,No,No,7,760000.0
Bamboo Airways,HÀ NỘI,PHÚ QUỐC,29.0,4.0,2021.0,3.0,7.0,9.0,125.0,0,ECO FLEX,Yes,Yes,23,3372000.0
Vietjet,DAD,SGN,10.0,4.0,2021.0,5.0,13.0,14.0,85.0,0,ECONOMY,No,No,7,694900.0
Vietnam Airlines,HÀ NỘI,TP HCM,21.0,4.0,2021.0,2.0,15.0,17.0,134.0,0,ECONOMY (EL)-P,No,No,7,1002765.0
Vietnam Airlines,TP HCM,CHU LAI,22.0,4.0,2021.0,3.0,11.0,13.0,99.0,0,ECONOMY (EL)-A,No,No,7,793186.0
Vietnam Airlines,ĐÀ NẴNG,TP HCM,27.0,4.0,2021.0,1.0,15.0,17.0,90.0,0,ECONOMY (EL)-P,No,No,7,859000.0
Bamboo Airways,CXR,SGN,2.0,5.0,2021.0,6.0,14.0,15.0,70.0,0,ECONOMY,Limited,Snack,23,2107000.0
Vietnam Airlines,VINH,TP HCM,16.0,4.0,2021.0,4.0,21.0,23.0,115.0,0,ECONOMY (EL)-A,No,No,7,760000.0
Bamboo Airways,PHÚ QUỐC,TP HCM,22.0,4.0,2021.0,3.0,18.0,19.0,60.0,0,ECO SAVER,No,No,7,706000.0
Vietnam Airlines,CXR,SGN,4.0,5.0,2021.0,1.0,9.0,10.0,84.0,0,ECONOMY,No,Snack,20,1364693.0
Vietnam Airlines,CHU LAI,TP HCM,10.0,4.0,2021.0,5.0,19.0,20.0,85.0,0,ECONOMY (EL)-P,No,No,7,870000.0
Bamboo Airways,DAD,HAN,7.0,1.0,2026.0,2.0,12.0,14.0,110.0,0,BUSINESS,Yes,Yes,30,3784000.0
Vietnam Airlines,TP HCM,HẢI PHÒNG,26.0,4.0,2021.0,0.0,14.0,16.0,125.0,0,ECONOMY (EC)-L,Limited,Yes,23,2610000.0
Vietnam Airlines,HÀ NỘI,ĐÀ NẴNG,13.0,4.0,2021.0,1.0,11.0,13.0,85.0,0,ECONOMY (EL)-P,No,No,7,859000.0
Vietjet,QUY NHƠN,HÀ NỘI,12.0,4.0,2021.0,0.0,14.0,16.0,91.0,0,ECO,No,Snack,20,1316091.0
Vietjet,TP HCM,HẢI PHÒNG,1.0,5.0,2021.0,5.0,18.0,20.0,112.0,0,ECO,No,No,20,1107797.0
Pacific Airlines,TP HCM,HÀ NỘI,1.0,4.0,2021.0,3.0,16.0,18.0,137.0,0,ECONOMY (EC)-T,No,Snack,20,1336685.0
Vietnam Airlines,HAN,SGN,7.0,4.0,2021.0,2.0,21.0,23.0,135.0,0,ECONOMY,No,No,7,969000.0
Vietnam Airlines,NHA TRANG,TP HCM,25.0,4.0,2021.0,6.0,22.0,23.0,70.0,0,ECONOMY (EC)-R,No,No,20,1180000.0
Vietnam Airlines,TP HCM,ĐÀ LẠT,3.0,5.0,2021.0,0.0,20.0,21.0,65.0,0,ECONOMY (EL)-A,No,No,7,726000.0
Vietnam Airlines,DLI,HAN,6.0,4.0,2021.0,1.0,15.0,17.0,118.0,0,ECONOMY,Limited,Snack,23,2119075.0
Vietnam Airlines,TP HCM,HUẾ,2.0,5.0,2021.0,6.0,9.0,10.0,90.0,0,ECONOMY (EL)-A,No,No,7,759000.0
Vietjet,VINH,TP HCM,30.0,4.0,2021.0,4.0,15.0,17.0,105.0,0,ECO,No,No,7,694900.0
Pacific Airlines,HÀ NỘI,TP HCM,13.0,4.0,2021.0,1.0,9.0,12.0,150.0,0,ECONOMY (EL)-P,No,No,7,859000.0
Vietnam Airlines,TP HCM,HẢI PHÒNG,17.0,4.0,2021.0,5.0,16.0,19.0,112.0,0,ECONOMY (EL)-A,No,No,7,796111.0
